Column1,lemma,reflexivity,total_ipm,is_sem_compatible,is_anticausative,uses_double_accusative,is_visual,refl.bias,comment,solution,Column4
66,pohnout,0.655323819978046,45.17120869864,TRUE,FALSE,FALSE,FALSE,high,ins [ok],ins [ok],
67,ponořit,0.590254237288136,23.4037436945753,TRUE,FALSE,FALSE,TRUE,high,asi bude hodně přenesených významů v refl (ponořit se do problému),ok, většina případů přenesených,
70,potkat,0.253218884120172,94.7355777602871,TRUE,FALSE,FALSE,FALSE,low,s refl bude reciproční,anotace reciprocity,
74,prezentovat,0.24802671523983,32.6660727669199,TRUE,FALSE,FALSE,FALSE,low,asi ok,ok,
77,probudit,0.617431604126177,66.3337464292432,TRUE,FALSE,FALSE,TRUE,high,ok,ok,
79,projevit,0.658884565499351,68.8129565663804,TRUE,FALSE,FALSE,FALSE,high,jak vypadají výskyty bez refl?,ok, subjekt většinou životný (x projevuje zájem),
80,projevovat,0.743847150259067,61.2464072278377,TRUE,FALSE,FALSE,FALSE,high,jak vypadají výskyty bez refl?,ok,
89,přestěhovat,0.796875,29.8298563700349,TRUE,FALSE,FALSE,FALSE,high,ok,ok,
91,přiblížit,0.60709082078679,61.2563240683862,TRUE,FALSE,FALSE,FALSE,high,přiblížit něco někomu vs přiblížit se někam?,opraveno,
97,přitisknout,0.249820014398848,27.5489830438687,TRUE,FALSE,TRUE,TRUE,low,neživotný patientní argument [asi ok],ok, anotace životnosti,
103,rozesmát,0.753471046393498,29.2844301398647,TRUE,FALSE,FALSE,TRUE,high,ok,ok,
105,rozhodovat,0.269172476508033,65.4313139393253,TRUE,FALSE,FALSE,FALSE,low,není prototypicky refl alternace (rozhodovat spor vs rozhodovat se pro něco),asi vynecham, ale rozhodovat o nečem == rozhodovat se???,
106,rozjet,0.659608598010908,30.9107919898267,TRUE,FALSE,FALSE,FALSE,high,není refl alternace > rozjet byznys/žábu vs rozjet se ~ začít jet,opraveno,
113,sejít,0.716616523952789,85.7013360205591,TRUE,FALSE,FALSE,FALSE,high,s refl je reciprocita, ne refl,anotace reciprocity,
114,seznámit,0.712575805936802,62.1389228772071,TRUE,FALSE,FALSE,FALSE,high,s refl je reciprocita, ne refl,anotace reciprocity,
119,sklonit,0.593410326086957,29.1951785749278,TRUE,FALSE,FALSE,FALSE,high,jak vypadají výskyty bez refl?,ok, typicky životní agent skloní hlavu, pohled, zbraň,
123,snížit,0.274281556929793,81.7841840038823,TRUE,FALSE,FALSE,FALSE,low,s refl bude asi primárně přeneseně (snížit se k něčemu),opraveno,
124,snižovat,0.281840591618735,48.2751797903358,TRUE,FALSE,FALSE,FALSE,low,s refl bude asi spíš antikauzativum,asi vynecham,
125,spojit,0.25107408571728,94.6364093548016,TRUE,FALSE,FALSE,FALSE,low,ok,asi vynecham, není uplne reverzibilni,
127,srazit,0.251863857374392,30.5934530922732,TRUE,FALSE,FALSE,FALSE,low,s refl bude primárně reciproční,anotace reciprocity,
128,stáhnout,0.263380281690141,70.4095678946968,TRUE,FALSE,FALSE,FALSE,low,asi ok,ok,
130,stavět,0.281112507856694,63.1107732509648,TRUE,FALSE,FALSE,FALSE,low,stavět se na nohy? spíš ne,asi vynechám,
134,šířit,0.641850111303487,40.093786337783,TRUE,FALSE,FALSE,FALSE,high,asi nepůjde s lidskými subjekty (jestli to je problém, je k diskuzi),ok, anotace životnosti,
140,tlačit,0.20880195599022,40.5598778435648,TRUE,FALSE,FALSE,TRUE,low,ok,ok,
142,trápit,0.279937521693856,57.1408352407384,TRUE,FALSE,FALSE,FALSE,low,ok,ok,
149,ulevit,0.606767794632439,25.4961970503191,TRUE,FALSE,FALSE,FALSE,high,ulevit se někomu vs bez refl [asi] ulevit si,"asi vynecham, ulevit si daleko nejčastějčší, ale také ""čaj vám uleví od bolesti"" nebo ""úzkost, které neuleví ani metafora""",
154,uzavírat,0.213164944508228,25.9127043533581,TRUE,FALSE,FALSE,FALSE,low,jak vypadají výskyty s refl? (uzavírat se do sebe?),asi vynecham, bud uzavirat se (ne uplne reverzibilni, nebo antikauzativum,
160,vrhnout,0.680245440599966,58.1821034983361,TRUE,FALSE,FALSE,TRUE,high,přenesený význam vrhnout se na práci,asi vynecham, preneseny vyznam asi polovina uziti,
167,vypravit,0.655991363799928,27.5588998844172,TRUE,FALSE,FALSE,FALSE,high,ok,ok,
170,vyvíjet,0.648800179412424,44.2191920059793,TRUE,FALSE,FALSE,FALSE,high,podobné jako šířit,ok, anotace životnosti,
172,vzbudit,0.211966604823748,42.7614164453426,TRUE,FALSE,FALSE,FALSE,low,ok,ok,
173,vzdát,0.634838709677419,61.4844114010028,TRUE,FALSE,FALSE,FALSE,high,možný problém je významový rozdíl vzdát se vs vzdát něco,asi vynecham,
176,zakládat,0.242161716171617,24.0384214896824,TRUE,FALSE,FALSE,FALSE,low,zakládat se na něčem > jiný význam a jen patientní referenty,asi vynecham,
177,zaměřit,0.614521557941978,61.8711681823962,TRUE,FALSE,FALSE,FALSE,high,v refl jen přenesený význam (jestli problém, je k diskuzi),ok, téměř ve všech případech jde o věnování zájmu, ne o měření,
178,zamilovat,0.732293697205978,30.5240352084333,TRUE,FALSE,FALSE,FALSE,high,bez toho si to jako kauzativum asi není použitelné (~ zamilovat někoho do někoho...),opraveno,
179,zamyslet,0.760889430399025,32.5569875208859,TRUE,FALSE,FALSE,FALSE,high,jak vypadají výskyty bez refl?,opraveno,
181,zapsat,0.291854666350036,41.7598155499392,TRUE,FALSE,TRUE,TRUE,low,ok (možná problematické užití typu zapsat se jako dobrý student),ok,
185,zbavit,0.656691203089176,82.1808576258243,TRUE,FALSE,FALSE,FALSE,high,impresionisticky míň prototypické než třeba probudit, ale asi ok,ok,
195,ztrácet,0.21811761510254,73.0176969589651,TRUE,FALSE,FALSE,FALSE,low,jiný význam ztrácet klíče vs ztrácet se v lese,ok,
201,živit,0.622204888195528,38.1401687497189,TRUE,FALSE,FALSE,FALSE,high,možný problém je významový rozdíl živit se (něčím) vs živit někoho,asi vynecham,
